cm: 127.00, in: 50.00, ft'in: 4'2.00
cm: 128.00, in: 50.39, ft'in: 4'2.39
cm: 129.00, in: 50.79, ft'in: 4'2.79
cm: 129.54, in: 51.00, ft'in: 4'3.00
cm: 130.00, in: 51.18, ft'in: 4'3.18
cm: 131.00, in: 51.57, ft'in: 4'3.57
cm: 132.00, in: 51.97, ft'in: 4'3.97
cm: 132.08, in: 52.00, ft'in: 4'4.00
cm: 133.00, in: 52.36, ft'in: 4'4.36
cm: 134.00, in: 52.76, ft'in: 4'4.76
cm: 134.62, in: 53.00, ft'in: 4'5.00
cm: 135.00, in: 53.15, ft'in: 4'5.15
cm: 136.00, in: 53.54, ft'in: 4'5.54
cm: 137.00, in: 53.94, ft'in: 4'5.94
cm: 137.16, in: 54.00, ft'in: 4'6.00
cm: 138.00, in: 54.33, ft'in: 4'6.33
cm: 139.00, in: 54.72, ft'in: 4'6.72
cm: 139.70, in: 55.00, ft'in: 4'7.00
cm: 140.00, in: 55.12, ft'in: 4'7.12
cm: 141.00, in: 55.51, ft'in: 4'7.51
cm: 142.00, in: 55.91, ft'in: 4'7.91
cm: 142.24, in: 56.00, ft'in: 4'8.00
cm: 143.00, in: 56.30, ft'in: 4'8.30
cm: 144.00, in: 56.69, ft'in: 4'8.69
cm: 144.78, in: 57.00, ft'in: 4'9.00
cm: 145.00, in: 57.09, ft'in: 4'9.09
cm: 146.00, in: 57.48, ft'in: 4'9.48
cm: 147.00, in: 57.87, ft'in: 4'9.87
cm: 147.32, in: 58.00, ft'in: 4'10.00
cm: 148.00, in: 58.27, ft'in: 4'10.27
cm: 149.00, in: 58.66, ft'in: 4'10.66
cm: 149.86, in: 59.00, ft'in: 4'11.00
cm: 150.00, in: 59.06, ft'in: 4'11.06
cm: 151.00, in: 59.45, ft'in: 4'11.45
cm: 152.00, in: 59.84, ft'in: 4'11.84
cm: 152.40, in: 60.00, ft'in: 4'12.00
cm: 153.00, in: 60.24, ft'in: 5'0.24
cm: 154.00, in: 60.63, ft'in: 5'0.63
cm: 154.94, in: 61.00, ft'in: 5'1.00
cm: 155.00, in: 61.02, ft'in: 5'1.02
cm: 156.00, in: 61.42, ft'in: 5'1.42
cm: 157.00, in: 61.81, ft'in: 5'1.81
cm: 157.48, in: 62.00, ft'in: 5'2.00
cm: 158.00, in: 62.20, ft'in: 5'2.20
cm: 159.00, in: 62.60, ft'in: 5'2.60
cm: 160.00, in: 62.99, ft'in: 5'2.99
cm: 160.02, in: 63.00, ft'in: 5'3.00
cm: 161.00, in: 63.39, ft'in: 5'3.39
cm: 162.00, in: 63.78, ft'in: 5'3.78
cm: 162.56, in: 64.00, ft'in: 5'4.00
cm: 163.00, in: 64.17, ft'in: 5'4.17
cm: 164.00, in: 64.57, ft'in: 5'4.57
cm: 165.00, in: 64.96, ft'in: 5'4.96
cm: 165.10, in: 65.00, ft'in: 5'5.00
cm: 166.00, in: 65.35, ft'in: 5'5.35
cm: 167.00, in: 65.75, ft'in: 5'5.75
cm: 167.64, in: 66.00, ft'in: 5'6.00
cm: 168.00, in: 66.14, ft'in: 5'6.14
cm: 169.00, in: 66.54, ft'in: 5'6.54
cm: 170.00, in: 66.93, ft'in: 5'6.93
cm: 170.18, in: 67.00, ft'in: 5'7.00
cm: 171.00, in: 67.32, ft'in: 5'7.32
cm: 172.00, in: 67.72, ft'in: 5'7.72
cm: 172.72, in: 68.00, ft'in: 5'8.00
cm: 173.00, in: 68.11, ft'in: 5'8.11
cm: 174.00, in: 68.50, ft'in: 5'8.50
cm: 175.00, in: 68.90, ft'in: 5'8.90
cm: 175.26, in: 69.00, ft'in: 5'9.00
