Tno,From,To
12723,Hyderabad Decan,New Delhi
22416,New Delhi,Vishakapatnam
12724,New Delhi,Hyderabad Decan
12707,Tirupati,H Nizamuddin
15909,New Tinsukia Junction,Darbhanga Junction
18242,Ambikapur,Durg
11266,Ambikapur,Jabalpur
58702,Ambikapur,Shahdol
54703,Abohar,Jodhpur Junction
7509,Adilabad,Kollam Junction
9416,Ahmedabad Junction,Madgaon
19417,Ahmedabad Junction,Allahabad Junction
9427,Ahmedabad Junction,Allahabad Junction
9018,Ahmedabad Junction,Mumbai Central
14804,Ahmedabad Junction,Bhagat Ki Kothi
4804,Ahmedabad Junction,Bhagat Ki Kothi
9421,Ahmedabad Junction,Barmer
19130,Ahmedabad Junction,Vadodara Junction
2713,Ahmedabad Junction,Vijayawada Junction
19420,Ahmedabad Junction,Chennai Central
9417,Ahmedabad Junction,Delhi S Rohilla
12931,Mumbai Central,Ahmedabad Junction
12267,Mumbai Central,Ahmedabad Junction
12298,Pune Junction,Ahmedabad Junction
9425,Ahmedabad Junction,Jaipur
19223,Ahmedabad Junction,Jammu Tawi
19606,Ahmedabad Junction,Kolkata
19401,Ahmedabad Junction,Lucknow Nr
9413,Ahmedabad Junction,Lucknow Nr
9420,Ahmedabad Junction,Mangalore Junction
9411,Ahmedabad Junction,Patna Junction
19421,Ahmedabad Junction,Patna Junction
18406,Ahmedabad Junction,Puri
12844,Ahmedabad Junction,Puri
7017,Ahmedabad Junction,Secunderabad Junction
12958,New Delhi,Ahmedabad Junction
19415,Ahmedabad Junction,Shmata V D Ktra
19944,Ahmedabad Mg,Udaipur City
19407,Ahmedabad Junction,Varanasi Junction
16501,Ahmedabad Junction,Yesvantpur Junction
12547,Agra Fort,Ahmedabad Junction
12195,Agra Fort,Ajmer Junction
9612,Agra Fort,Ajmer Junction
12036,Agra Fort,Jaipur
15055,Agra Fort,Ramnagar
12954,H Nizamuddin,Mumbai Central
12320,Agra Cantt,Kolkata
13168,Agra Cantt,Kolkata
1436,Agra Cantt,Pune Junction
12342,Asansol Junction,Howrah Junction
12341,Howrah Junction,Asansol Junction
12548,Ahmedabad Junction,Agra Fort
52575,Agartala,Dharmanagar
22645,Indore Junction Bg,Trivandrum Cntl
22646,Trivandrum Cntl,Indore Junction Bg
11095,Ahmedabad Junction,Pune Junction
11096,Pune Junction,Ahmedabad Junction
16502,Yesvantpur Junction,Ahmedabad Junction
59439,Mumbai Central,Ahmedabad Junction
59440,Ahmedabad Junction,Borivali
19405,Yesvantpur Junction,Ahmedabad Junction
11050,C Shahumharaj T,Ahmedabad Junction
59441,Mumbai Central,Nandurbar
59442,Ahmedabad Junction,Mumbai Central
9649,Ajmer Junction,Ahmedabad Junction
12196,Ajmer Junction,Agra Fort
5712,Ajmer Junction,Alipur Duar Junction
22996,Ajmer Junction,Bandra Terminus
9611,Ajmer Junction,Bandra Terminus
9619,Ajmer Junction,Bandra Terminus
9602,Ajmer Junction,Udaipur City
9601,Ajmer Junction,Beas
13424,Ajmer Junction,Bhagalpur
5286,Ajmer Junction,Barauni Junction
12983,Ajmer Junction,Chandigarh
5104,Ajmer Junction,Chhapra
5238,Ajmer Junction,Darbhanga Junction
12990,Ajmer Junction,Dadar
9627,Ajmer Junction,Delhi S Rohilla
4042,Ajmer Junction,Delhi
18208,Ajmer Junction,Durg
19609,Ajmer Junction,Haridwar Junction
9640,Ajmer Junction,Haridwar Junction
3002,Ajmer Junction,Howrah Junction
17019,Ajmer Junction,Hyderabad Decan
12719,Ajmer Junction,Hyderabad Decan
7126,Ajmer Junction,Hyderabad Decan
7019,Ajmer Junction,Hyderabad Decan
9312,Ajmer Junction,Indore Junction Bg
12066,H Nizamuddin,Ajmer Junction
12413,Ajmer Junction,Jammu Tawi
9621,Ajmer Junction,Jaipur
9625,Ajmer Junction,Jaipur
54802,Ajmer Junction,Jodhpur Junction
7130,Ajmer Junction,Kacheguda
3138,Ajmer Junction,Howrah Junction
19608,Ajmer Junction,Kolkata
16209,Ajmer Junction,Mysore Junction
22211,Ajmer Junction,H Nizamuddin
18422,Ajmer Junction,Puri
8422,Ajmer Junction,Puri
19654,Ajmer Junction,Ratlam Junction
12988,Ajmer Junction,Sealdah
3180,Ajmer Junction,Sealdah
19603,Ajmer Junction,Sultanpur
19607,Kolkata,Ajmer Junction
17064,Secunderabad Junction,Manmad Junction
17063,Manmad Junction,Secunderabad Junction
19613,Ajmer Junction,Amritsar Junction
19611,Ajmer Junction,Amritsar Junction
12989,Dadar,Ajmer Junction
16210,Mysore Junction,Ajmer Junction
19411,Ahmedabad Junction,Ajmer Junction
12015,New Delhi,Ajmer Junction
12016,Ajmer Junction,New Delhi
9650,Ahmedabad Junction,Ajmer Junction
12120,Nagpur,Amravati
11202,Ajni,Lokmanyatilak T
17640,Akola Junction,Kacheguda
52994,Akola Junction,Mhow
7507,Akola Junction,Kollam Junction
12318,Amritsar Junction,Sealdah
12317,Sealdah,Amritsar Junction
14311,Bareilly,Bhuj
14312,Bhuj,Bareilly
7092,Allahabad Junction,Hyderabad Decan
19418,Allahabad Junction,Ahmedabad Junction
9430,Allahabad Junction,Ahmedabad Junction
4421,Allahabad Junction,Anand Vihar Trm
7240,Allahabad Junction,Kakinada Town
4001,Allahabad Junction,Delhi
12276,New Delhi,Allahabad Junction
12293,Lokmanyatilak T,Allahabad Junction
14115,Allahabad Junction,Haridwar Junction
4120,Allahabad Junction,Howrah Junction
22442,Kanpur Central,Allahabad Junction
4121,Allahabad Junction,Jammu Tawi
4131,Allahabad Junction,Jammu Tawi
12403,Allahabad Junction,Jaipur
12294,Allahabad Junction,Lokmanyatilak T
4127,Allahabad Junction,Lokmanyatilak T
12564,Allahabad Junction,Lokmanyatilak T
1006,Allahabad Junction,Lokmanyatilak T
4115,Allahabad Junction,Lokmanyatilak T
4111,Allahabad Junction,New Delhi
4423,Allahabad Junction,New Delhi
7514,Allahabad Junction,Nanded
7512,Allahabad Junction,Nanded
4113,Allahabad Junction,Udhampur
8576,Allahabad Junction,Vishakapatnam
9429,Ahmedabad Junction,Allahabad Junction
22639,Chennai Central,Alleppey
16308,Kannur,Alleppey
12587,Gorakhpur Junction,Jammu Tawi
18047,Howrah Junction,Vasco Da Gama
17225,Vijayawada Junction,Hubli Junction
17226,Hubli Junction,Kacheguda
12853,Durg,Bhopal Junction
12854,Bhopal Junction,Durg
15098,Jammu Tawi,Bhagalpur
15097,Bhagalpur,Jammu Tawi
15653,Guwahati,Jammu Tawi
11265,Jabalpur,Ambikapur
13138,Azamgarh,Kolkata
11054,Azamgarh,Lokmanyatilak T
12119,Amravati,Ajni
12159,Amravati,Jabalpur
11406,Amravati,Pune Junction
12766,Amravati,Tirupati
9050,Amravati,Udhna Junction
12112,Amravati,Mumbai Cst
16343,Trivandrum Cntl,Palghat Town
16344,Palghat Town,Trivandrum Cntl
12483,Kochuveli,Amritsar Junction
13049,Howrah Junction,Amritsar Junction
11057,Lokmanyatilak T,Dhule
13005,Howrah Junction,Amritsar Junction
12014,Amritsar Junction,New Delhi
12032,Amritsar Junction,New Delhi
12013,New Delhi,Amritsar Junction
12031,New Delhi,Amritsar Junction
22128,Kazipet Junction,Lokmanyatilak T
22127,Lokmanyatilak T,Kazipet Junction
16723,Chennai Egmore,Trivandrum Cntl
16724,Trivandrum Cntl,Chennai Egmore
12316,Udaipur City,Sealdah
16031,Chennai Central,Jammu Tawi
16032,Jammu Tawi,Chennai Central
12254,Bhagalpur,Yesvantpur Junction
12253,Yesvantpur Junction,Bhagalpur
12315,Sealdah,Udaipur City
4422,Anand Vihar Trm,Allahabad Junction
4118,Anand Vihar Trm,Allahabad Junction
4028,Anand Vihar Trm,Alipur Duar Junction
3518,Anand Vihar Trm,Asansol Junction
22406,Anand Vihar Trm,Bhagalpur
14152,Anand Vihar Trm,Kanpur Central
12211,Muzaffarpur Junction,Anand Vihar Trm
22409,Gaya Junction,Anand Vihar Trm
2398,Anand Vihar Trm,Gaya Junction
5028,Anand Vihar Trm,Gorakhpur Junction
15058,Anand Vihar Trm,Gorakhpur Junction
5052,Anand Vihar Trm,Gorakhpur Junction
5036,Anand Vihar Trm,Gorakhpur Junction
5040,Anand Vihar Trm,Gorakhpur Junction
5050,Delhi,Gorakhpur Junction
5058,Anand Vihar Trm,Gorakhpur Junction
12444,Anand Vihar Trm,Haldia
12040,Anand Vihar Trm,Kathgodam
13132,Anand Vihar Trm,Kolkata
3126,Anand Vihar Trm,Kolkata
15622,Anand Vihar Trm,Kamakhya
15026,Anand Vihar Trm,Mau Junction
13430,Anand Vihar Trm,Malda Town
3210,Anand Vihar Trm,Patna Junction
2394,Anand Vihar Trm,Patna Junction
2365,Patna Junction,Anand Vihar Trm
2527,Gorakhpur Junction,Anand Vihar Trm
22488,Anand Vihar Trm,Radhikapur
12428,Anand Vihar Trm,Rewa
3190,Anand Vihar Trm,Sealdah
22858,Anand Vihar Trm,Santragachi Junction
8034,Anand Vihar Trm,Santragachi Junction
4403,Anand Vihar Trm,Udhampur
12708,H Nizamuddin,Tirupati
5711,Alipur Duar Junction,Ajmer Junction
5817,Alipur Duar Junction,Dhubri
12885,Shalimar,Bhojudih Junction
12886,Bhojudih Junction,Shalimar
19707,Bandra Terminus,Jaipur
